education,gender,nuts1,parameter_set,population
level_three,female,UKD,3,462363.0902799458
level_three,female,UKE,3,374482.5206327439
level_three,female,UKF,3,350747.9888041626
level_three,female,UKG,3,389847.34385565476
level_three,female,UKH,3,426000.98181128927
level_three,female,UKI,3,597778.7543212754
level_three,female,UKJ,3,616246.364686295
level_three,female,UKK,3,383226.4119722335
level_three,female,UKL,3,229291.91823969304
level_three,female,UKM,3,512767.18939051445
level_four,male,UKC,3,228670.60869715016
level_four,male,UKD,3,700256.0589013608
level_four,male,UKE,3,478170.4886197284
level_four,male,UKF,3,403151.45869502565
level_four,male,UKG,3,522298.1090889347
level_four,male,UKH,3,656937.6036942819
level_four,male,UKI,3,1562072.3122148036
level_four,male,UKJ,3,1103118.3870958914
level_four,male,UKK,3,602847.346267529
level_four,male,UKL,3,286332.590312667
level_four,male,UKM,3,562903.8136126504
level_four,female,UKC,3,266649.94693864754
level_four,female,UKD,3,808954.506218639
level_four,female,UKE,3,552448.9729886526
level_four,female,UKF,3,460923.0778856999
level_four,female,UKG,3,596071.0412471556
level_four,female,UKH,3,684597.0140518486
level_four,female,UKI,3,1579059.316390056
level_four,female,UKJ,3,1260756.726659223
level_four,female,UKK,3,696964.3672828986
level_four,female,UKL,3,356625.2103691244
level_four,female,UKM,3,711524.5364286157
no_qualifications,male,UKC,4,95805.70870451046
no_qualifications,male,UKD,4,275500.1856965938
no_qualifications,male,UKE,4,198488.06703818767
no_qualifications,male,UKF,4,140589.13991524492
no_qualifications,male,UKG,4,273764.1506966753
no_qualifications,male,UKH,4,185753.15256630856
no_qualifications,male,UKI,4,225344.45583989326
no_qualifications,male,UKJ,4,194695.4842396067
no_qualifications,male,UKK,4,117535.27056275806
no_qualifications,male,UKL,4,117413.49762291319
no_qualifications,male,UKM,4,214251.4699668091
no_qualifications,female,UKC,4,107893.56083405907
no_qualifications,female,UKD,4,277319.0998351538
no_qualifications,female,UKE,4,216996.82726618793
no_qualifications,female,UKF,4,149690.30442679476
no_qualifications,female,UKG,4,280701.21308639296
no_qualifications,female,UKH,4,188245.25539865816
no_qualifications,female,UKI,4,230667.31420570004
no_qualifications,female,UKJ,4,201058.33757363114
