education,gender,nuts1,parameter_set,vote_intention,predicted_probability
level_three,male,UKF,1,labour,0.0660199341415696
level_three,male,UKG,1,labour,0.108033423556059
level_three,male,UKH,1,labour,0.063237053556138
level_three,male,UKI,1,labour,0.0816180683170745
level_three,male,UKJ,1,labour,0.0753430307896005
level_three,male,UKK,1,labour,0.0700454632969816
level_three,male,UKL,1,labour,0.0825702230888504
level_three,male,UKM,1,labour,0.0616092557124223
level_three,female,UKC,1,labour,0.0729784001914412
level_three,female,UKD,1,labour,0.0784162064903146
level_three,female,UKE,1,labour,0.0943413299030826
level_three,female,UKF,1,labour,0.0717564906915018
level_three,female,UKG,1,labour,0.115323284436227
level_three,female,UKH,1,labour,0.0692201516968158
level_three,female,UKI,1,labour,0.0852431380240046
level_three,female,UKJ,1,labour,0.0828323023253162
level_three,female,UKK,1,labour,0.0768234670255715
level_three,female,UKL,1,labour,0.0872689978727202
level_three,female,UKM,1,labour,0.0662358973744916
level_four,male,UKC,1,labour,0.0187826706686011
level_four,male,UKD,1,labour,0.0202475656144266
level_four,male,UKE,1,labour,0.0249343459743024
level_four,male,UKF,1,labour,0.017921512459882
level_four,male,UKG,1,labour,0.0311514142019629
level_four,male,UKH,1,labour,0.0173168754545987
level_four,male,UKI,1,labour,0.02218207061173
level_four,male,UKJ,1,labour,0.0207463043451042
level_four,male,UKK,1,labour,0.0188861657363807
level_four,male,UKL,1,labour,0.0237075706952413
level_four,male,UKM,1,labour,0.0169925137297884
level_four,female,UKC,1,labour,0.0201465358465381
level_four,female,UKD,1,labour,0.0218719864235198
level_four,female,UKE,1,labour,0.0270094765841826
level_four,female,UKF,1,labour,0.0195416488348304
level_four,female,UKG,1,labour,0.0337363803694143
level_four,female,UKH,1,labour,0.019010388069786
level_four,female,UKI,1,labour,0.0235555947107713
level_four,female,UKJ,1,labour,0.022862084513034
level_four,female,UKK,1,labour,0.0207617031409155
level_four,female,UKL,1,labour,0.025296475764969
level_four,female,UKM,1,labour,0.0183433119539298
no_qualifications,male,UKC,1,ukip,2.64345568722816e-10
no_qualifications,male,UKD,1,ukip,1.69385540439203e-07
no_qualifications,male,UKE,1,ukip,1.03233101636094e-05
no_qualifications,male,UKF,1,ukip,3.67645154067613e-06
no_qualifications,male,UKG,1,ukip,3.30375875071826e-08
no_qualifications,male,UKH,1,ukip,1.07844798975417e-08
no_qualifications,male,UKI,1,ukip,3.1996399630644e-08
no_qualifications,male,UKJ,1,ukip,8.23709955526538e-10
no_qualifications,male,UKK,1,ukip,1.93034191552748e-08
no_qualifications,male,UKL,1,ukip,5.21365632787734e-09
no_qualifications,male,UKM,1,ukip,6.35176143997161e-08
no_qualifications,female,UKC,1,ukip,4.93476416884141e-10
no_qualifications,female,UKD,1,ukip,3.18983061422949e-07
no_qualifications,female,UKE,1,ukip,1.95688881840898e-05
no_qualifications,female,UKF,1,ukip,7.09500052504269e-06
no_qualifications,female,UKG,1,ukip,6.28789631240783e-08
no_qualifications,female,UKH,1,ukip,2.09334603761708e-08
no_qualifications,female,UKI,1,ukip,5.90845348881006e-08
no_qualifications,female,UKJ,1,ukip,1.60707202945744e-09
no_qualifications,female,UKK,1,ukip,3.75319598751631e-08
no_qualifications,female,UKL,1,ukip,9.84674157240401e-09
no_qualifications,female,UKM,1,ukip,1.21519309038537e-07
level_one,male,UKC,1,ukip,2.49725862118238e-09
level_one,male,UKD,1,ukip,1.61039609778798e-06
level_one,male,UKE,1,ukip,9.92765439188055e-05
level_one,male,UKF,1,ukip,3.53808567067295e-05
level_one,male,UKG,1,ukip,3.20533662663786e-07
level_one,male,UKH,1,ukip,1.04330525447832e-07
level_one,male,UKI,1,ukip,3.13716750598513e-07
level_one,male,UKJ,1,ukip,8.10344115364642e-09
level_one,male,UKK,1,ukip,1.93711490077533e-07
level_one,male,UKL,1,ukip,6.11967253206126e-08
level_one,male,UKM,1,ukip,6.11481371879195e-07
level_one,female,UKC,1,ukip,4.67124256127409e-09
level_one,female,UKD,1,ukip,3.03534084602647e-06
level_one,female,UKE,1,ukip,0.000188114465013898
